case:concept:name,concept:name,org:resource,case:variant,time:timestamp,start:timestamp,time_from_start,time_from_previous_event(start),time_from_midnight,weekday,event_duration,remaining_time,leadtime,# ACTIVITY=Cancelar Solicitud,# ACTIVITY=Transferir creditos homologables,# ACTIVITY=Validar solicitud,# ACTIVITY=Visto Bueno Cierre Proceso,# ACTIVITY=Transferir Creditos,# ACTIVITY=Notificacion estudiante cancelacion soli,# ACTIVITY=Traer informacion estudiante - banner,# ACTIVITY=Homologacion por grupo de cursos,# ACTIVITY=Avanzar recepcion documentos,# ACTIVITY=Radicar Solicitud Homologacion,# ACTIVITY=Validacion final,# ACTIVITY=Validar solicitud / pre-homologacion,# ACTIVITY=Evaluacion curso,# ACTIVITY=Revisar curso,# ACTIVITY=Cancelar curso,# ACTIVITY=Recepcion de documentos,NEXT_ACTIVITY,NEXT_RESOURCE
81301,Cancelar Solicitud,669,Variant 9,2016-02-02 11:10:03+00:00,2016-02-02 10:49:59+00:00,1191.0,1187.0,38999.0,Tuesday,1204.0,529940.0,2395.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Notificacion estudiante cancelacion soli,669
81301,Notificacion estudiante cancelacion soli,669,Variant 9,2016-02-08 14:22:23+00:00,2016-02-02 11:10:03+00:00,2395.0,1204.0,40203.0,Tuesday,529940.0,0.0,2395.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
81801,Homologacion por grupo de cursos,1007,Variant 15,2016-02-03 16:11:05+00:00,2016-02-03 16:11:05+00:00,0.0,0.0,58265.0,Wednesday,0.0,2575.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Traer informacion estudiante - banner,8997
81801,Traer informacion estudiante - banner,8997,Variant 15,2016-02-03 16:13:10+00:00,2016-02-03 16:11:05+00:00,0.0,0.0,58265.0,Wednesday,125.0,2450.0,172.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8997
81801,Radicar Solicitud Homologacion,8997,Variant 15,2016-02-03 16:13:57+00:00,2016-02-03 16:13:10+00:00,125.0,125.0,58390.0,Wednesday,47.0,2403.0,172.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Validar solicitud,19019
81801,Validar solicitud,19019,Variant 15,2016-02-03 16:54:00+00:00,2016-02-03 16:13:57+00:00,172.0,47.0,58437.0,Wednesday,2403.0,0.0,172.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,end,end
81802,Traer informacion estudiante - banner,8997,Variant 2,2016-02-03 16:22:13+00:00,2016-02-03 16:22:13+00:00,0.0,0.0,58933.0,Wednesday,0.0,37016.0,410.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8997
81802,Radicar Solicitud Homologacion,8997,Variant 2,2016-02-03 16:22:19+00:00,2016-02-03 16:22:13+00:00,0.0,0.0,58933.0,Wednesday,6.0,37010.0,410.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,387
81802,Validar solicitud,387,Variant 2,2016-02-03 16:29:03+00:00,2016-02-03 16:22:19+00:00,6.0,6.0,58939.0,Wednesday,404.0,36606.0,410.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,1007
81802,Homologacion por grupo de cursos,1007,Variant 2,2016-02-04 02:39:09+00:00,2016-02-03 16:29:03+00:00,410.0,404.0,59343.0,Wednesday,36606.0,0.0,410.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
81803,Traer informacion estudiante - banner,8997,Variant 2,2016-02-03 16:29:30+00:00,2016-02-03 16:29:30+00:00,0.0,0.0,59370.0,Wednesday,0.0,16086.0,523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8997
81803,Radicar Solicitud Homologacion,8997,Variant 2,2016-02-03 16:29:38+00:00,2016-02-03 16:29:30+00:00,0.0,0.0,59370.0,Wednesday,8.0,16078.0,523.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,387
81803,Validar solicitud,387,Variant 2,2016-02-03 16:38:13+00:00,2016-02-03 16:29:38+00:00,8.0,8.0,59378.0,Wednesday,515.0,15563.0,523.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,22491
81803,Homologacion por grupo de cursos,22491,Variant 2,2016-02-03 20:57:36+00:00,2016-02-03 16:38:13+00:00,523.0,515.0,59893.0,Wednesday,15563.0,0.0,523.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
81804,Traer informacion estudiante - banner,8997,Variant 2,2016-02-03 16:39:44+00:00,2016-02-03 16:39:44+00:00,0.0,0.0,59984.0,Wednesday,0.0,5538.0,635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8997
81804,Radicar Solicitud Homologacion,8997,Variant 2,2016-02-03 16:39:54+00:00,2016-02-03 16:39:44+00:00,0.0,0.0,59984.0,Wednesday,10.0,5528.0,635.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,387
81804,Validar solicitud,387,Variant 2,2016-02-03 16:50:19+00:00,2016-02-03 16:39:54+00:00,10.0,10.0,59994.0,Wednesday,625.0,4903.0,635.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,1007
81804,Homologacion por grupo de cursos,1007,Variant 2,2016-02-03 18:12:02+00:00,2016-02-03 16:50:19+00:00,635.0,625.0,60619.0,Wednesday,4903.0,0.0,635.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
81805,Traer informacion estudiante - banner,8997,Variant 2,2016-02-03 16:54:27+00:00,2016-02-03 16:54:27+00:00,0.0,0.0,60867.0,Wednesday,0.0,4756.0,315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8997
81805,Radicar Solicitud Homologacion,8997,Variant 2,2016-02-03 16:54:32+00:00,2016-02-03 16:54:27+00:00,0.0,0.0,60867.0,Wednesday,5.0,4751.0,315.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,387
81805,Validar solicitud,387,Variant 2,2016-02-03 16:59:42+00:00,2016-02-03 16:54:32+00:00,5.0,5.0,60872.0,Wednesday,310.0,4441.0,315.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,1007
81805,Homologacion por grupo de cursos,1007,Variant 2,2016-02-03 18:13:43+00:00,2016-02-03 16:59:42+00:00,315.0,310.0,61182.0,Wednesday,4441.0,0.0,315.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
81851,Traer informacion estudiante - banner,955,Variant 1,2016-02-03 14:24:22+00:00,2016-02-03 14:24:22+00:00,0.0,0.0,51862.0,Wednesday,0.0,205625.0,31995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,955
81851,Radicar Solicitud Homologacion,955,Variant 1,2016-02-03 14:30:27+00:00,2016-02-03 14:24:22+00:00,0.0,0.0,51862.0,Wednesday,365.0,205260.0,31995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cancelar Solicitud,22475
81851,Cancelar Solicitud,22475,Variant 1,2016-02-03 23:17:37+00:00,2016-02-03 14:30:27+00:00,365.0,365.0,52227.0,Wednesday,31630.0,173630.0,31995.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Notificacion estudiante cancelacion soli,22475
81851,Notificacion estudiante cancelacion soli,22475,Variant 1,2016-02-05 23:31:27+00:00,2016-02-03 23:17:37+00:00,31995.0,31630.0,83857.0,Wednesday,173630.0,0.0,31995.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
81951,Traer informacion estudiante - banner,8443,Variant 1,2016-02-03 21:22:37+00:00,2016-02-03 21:22:37+00:00,0.0,0.0,76957.0,Wednesday,0.0,1731483.0,460536.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8443
81951,Radicar Solicitud Homologacion,8443,Variant 1,2016-02-03 21:50:18+00:00,2016-02-03 21:22:37+00:00,0.0,0.0,76957.0,Wednesday,1661.0,1729822.0,460536.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cancelar Solicitud,8443
81951,Cancelar Solicitud,8443,Variant 1,2016-02-09 05:18:13+00:00,2016-02-03 21:50:18+00:00,1661.0,1661.0,78618.0,Wednesday,458875.0,1270947.0,460536.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Notificacion estudiante cancelacion soli,8443
81951,Notificacion estudiante cancelacion soli,8443,Variant 1,2016-02-23 22:20:40+00:00,2016-02-09 05:18:13+00:00,460536.0,458875.0,19093.0,Tuesday,1270947.0,0.0,460536.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82008,Traer informacion estudiante - banner,955,Variant 2,2016-02-03 23:08:17+00:00,2016-02-03 23:08:17+00:00,0.0,0.0,83297.0,Wednesday,0.0,683243.0,3398.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,955
82008,Radicar Solicitud Homologacion,955,Variant 2,2016-02-03 23:08:29+00:00,2016-02-03 23:08:17+00:00,0.0,0.0,83297.0,Wednesday,12.0,683231.0,3398.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,1707
82008,Validar solicitud,1707,Variant 2,2016-02-04 00:04:55+00:00,2016-02-03 23:08:29+00:00,12.0,12.0,83309.0,Wednesday,3386.0,679845.0,3398.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,15930
82008,Homologacion por grupo de cursos,15930,Variant 2,2016-02-11 20:55:40+00:00,2016-02-04 00:04:55+00:00,3398.0,3386.0,295.0,Thursday,679845.0,0.0,3398.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82009,Traer informacion estudiante - banner,955,Variant 2,2016-02-03 23:20:30+00:00,2016-02-03 23:20:30+00:00,0.0,0.0,84030.0,Wednesday,0.0,682240.0,3201.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,955
82009,Radicar Solicitud Homologacion,955,Variant 2,2016-02-03 23:20:39+00:00,2016-02-03 23:20:30+00:00,0.0,0.0,84030.0,Wednesday,9.0,682231.0,3201.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,1707
82009,Validar solicitud,1707,Variant 2,2016-02-04 00:13:51+00:00,2016-02-03 23:20:39+00:00,9.0,9.0,84039.0,Wednesday,3192.0,679039.0,3201.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,15930
82009,Homologacion por grupo de cursos,15930,Variant 2,2016-02-11 20:51:10+00:00,2016-02-04 00:13:51+00:00,3201.0,3192.0,831.0,Thursday,679039.0,0.0,3201.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82054,Traer informacion estudiante - banner,18289,Variant 2,2016-02-04 02:15:40+00:00,2016-02-04 02:15:40+00:00,0.0,0.0,8140.0,Thursday,0.0,164068.0,1963.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,18289
82054,Radicar Solicitud Homologacion,18289,Variant 2,2016-02-04 02:15:41+00:00,2016-02-04 02:15:40+00:00,0.0,0.0,8140.0,Thursday,1.0,164067.0,1963.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,22475
82054,Validar solicitud,22475,Variant 2,2016-02-04 02:48:23+00:00,2016-02-04 02:15:41+00:00,1.0,1.0,8141.0,Thursday,1962.0,162105.0,1963.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,1343
82054,Homologacion por grupo de cursos,1343,Variant 2,2016-02-05 23:50:08+00:00,2016-02-04 02:48:23+00:00,1963.0,1962.0,10103.0,Thursday,162105.0,0.0,1963.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82101,Traer informacion estudiante - banner,16695,Variant 2,2016-02-04 03:31:58+00:00,2016-02-04 03:31:58+00:00,0.0,0.0,12718.0,Thursday,0.0,130752.0,45231.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,16695
82101,Radicar Solicitud Homologacion,16695,Variant 2,2016-02-04 03:33:00+00:00,2016-02-04 03:31:58+00:00,0.0,0.0,12718.0,Thursday,62.0,130690.0,45231.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,659
82101,Validar solicitud,659,Variant 2,2016-02-04 16:05:49+00:00,2016-02-04 03:33:00+00:00,62.0,62.0,12780.0,Thursday,45169.0,85521.0,45231.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,1422
82101,Homologacion por grupo de cursos,1422,Variant 2,2016-02-05 15:51:10+00:00,2016-02-04 16:05:49+00:00,45231.0,45169.0,57949.0,Thursday,85521.0,0.0,45231.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82102,Traer informacion estudiante - banner,528,Variant 2,2016-02-04 03:55:28+00:00,2016-02-04 03:55:28+00:00,0.0,0.0,14128.0,Thursday,0.0,489422.0,6649.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,528
82102,Radicar Solicitud Homologacion,528,Variant 2,2016-02-04 03:55:29+00:00,2016-02-04 03:55:28+00:00,0.0,0.0,14128.0,Thursday,1.0,489421.0,6649.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,716
82102,Validar solicitud,716,Variant 2,2016-02-04 05:46:17+00:00,2016-02-04 03:55:29+00:00,1.0,1.0,14129.0,Thursday,6648.0,482773.0,6649.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,7394
82102,Homologacion por grupo de cursos,7394,Variant 2,2016-02-09 19:52:30+00:00,2016-02-04 05:46:17+00:00,6649.0,6648.0,20777.0,Thursday,482773.0,0.0,6649.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82151,Traer informacion estudiante - banner,6186,Variant 1,2016-02-04 01:39:02+00:00,2016-02-04 01:39:02+00:00,0.0,0.0,5942.0,Thursday,0.0,745611.0,3963.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,6186
82151,Radicar Solicitud Homologacion,6186,Variant 1,2016-02-04 01:39:07+00:00,2016-02-04 01:39:02+00:00,0.0,0.0,5942.0,Thursday,5.0,745606.0,3963.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cancelar Solicitud,22404
82151,Cancelar Solicitud,22404,Variant 1,2016-02-04 02:45:05+00:00,2016-02-04 01:39:07+00:00,5.0,5.0,5947.0,Thursday,3958.0,741648.0,3963.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Notificacion estudiante cancelacion soli,22404
82151,Notificacion estudiante cancelacion soli,22404,Variant 1,2016-02-12 16:45:53+00:00,2016-02-04 02:45:05+00:00,3963.0,3958.0,9905.0,Thursday,741648.0,0.0,3963.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82251,Traer informacion estudiante - banner,8916,Variant 9,2016-02-04 06:20:38+00:00,2016-02-04 06:20:38+00:00,0.0,0.0,22838.0,Thursday,0.0,583518.0,2833.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8916
82251,Radicar Solicitud Homologacion,8916,Variant 9,2016-02-04 06:20:41+00:00,2016-02-04 06:20:38+00:00,0.0,0.0,22838.0,Thursday,3.0,583515.0,2833.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,669
82251,Validar solicitud,669,Variant 9,2016-02-04 06:38:22+00:00,2016-02-04 06:20:41+00:00,3.0,3.0,22841.0,Thursday,1061.0,582454.0,2833.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Cancelar Solicitud,8916
82251,Cancelar Solicitud,8916,Variant 9,2016-02-04 07:07:51+00:00,2016-02-04 06:38:22+00:00,1064.0,1061.0,23902.0,Thursday,1769.0,580685.0,2833.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Notificacion estudiante cancelacion soli,8916
82251,Notificacion estudiante cancelacion soli,8916,Variant 9,2016-02-11 00:25:56+00:00,2016-02-04 07:07:51+00:00,2833.0,1769.0,25671.0,Thursday,580685.0,0.0,2833.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82301,Traer informacion estudiante - banner,8186,Variant 43,2016-02-04 07:55:23+00:00,2016-02-04 07:55:23+00:00,0.0,0.0,28523.0,Thursday,0.0,172049.0,171483.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8186
82301,Radicar Solicitud Homologacion,8186,Variant 43,2016-02-04 08:07:46+00:00,2016-02-04 07:55:23+00:00,0.0,0.0,28523.0,Thursday,743.0,171306.0,171483.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,387
82301,Validar solicitud,387,Variant 43,2016-02-05 21:20:17+00:00,2016-02-04 08:07:46+00:00,743.0,743.0,29266.0,Thursday,133951.0,37355.0,171483.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Recepcion de documentos,26789
82301,Recepcion de documentos,26789,Variant 43,2016-02-06 07:33:26+00:00,2016-02-05 21:20:17+00:00,134694.0,133951.0,76817.0,Friday,36789.0,566.0,171483.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,1007
82301,Homologacion por grupo de cursos,1007,Variant 43,2016-02-06 07:42:52+00:00,2016-02-06 07:33:26+00:00,171483.0,36789.0,27206.0,Saturday,566.0,0.0,171483.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,end,end
82503,Traer informacion estudiante - banner,8528,Variant 1,2016-02-04 14:47:27+00:00,2016-02-04 14:47:27+00:00,0.0,0.0,53247.0,Thursday,0.0,1845.0,1141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8528
82503,Radicar Solicitud Homologacion,8528,Variant 1,2016-02-04 14:47:36+00:00,2016-02-04 14:47:27+00:00,0.0,0.0,53247.0,Thursday,9.0,1836.0,1141.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cancelar Solicitud,8528
82503,Cancelar Solicitud,8528,Variant 1,2016-02-04 15:06:28+00:00,2016-02-04 14:47:36+00:00,9.0,9.0,53256.0,Thursday,1132.0,704.0,1141.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Notificacion estudiante cancelacion soli,8528
82503,Notificacion estudiante cancelacion soli,8528,Variant 1,2016-02-04 15:18:12+00:00,2016-02-04 15:06:28+00:00,1141.0,1132.0,54388.0,Thursday,704.0,0.0,1141.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82505,Traer informacion estudiante - banner,8528,Variant 1,2016-02-04 15:06:44+00:00,2016-02-04 15:06:44+00:00,0.0,0.0,54404.0,Thursday,0.0,619728.0,2970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8528
82505,Radicar Solicitud Homologacion,8528,Variant 1,2016-02-04 15:06:50+00:00,2016-02-04 15:06:44+00:00,0.0,0.0,54404.0,Thursday,6.0,619722.0,2970.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cancelar Solicitud,1707
82505,Cancelar Solicitud,1707,Variant 1,2016-02-04 15:56:14+00:00,2016-02-04 15:06:50+00:00,6.0,6.0,54410.0,Thursday,2964.0,616758.0,2970.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Notificacion estudiante cancelacion soli,1707
82505,Notificacion estudiante cancelacion soli,1707,Variant 1,2016-02-11 19:15:32+00:00,2016-02-04 15:56:14+00:00,2970.0,2964.0,57374.0,Thursday,616758.0,0.0,2970.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82506,Traer informacion estudiante - banner,2804,Variant 2,2016-02-04 15:16:32+00:00,2016-02-04 15:16:32+00:00,0.0,0.0,54992.0,Thursday,0.0,349679.0,1413.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,2804
82506,Radicar Solicitud Homologacion,2804,Variant 2,2016-02-04 15:16:40+00:00,2016-02-04 15:16:32+00:00,0.0,0.0,54992.0,Thursday,8.0,349671.0,1413.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,677
82506,Validar solicitud,677,Variant 2,2016-02-04 15:40:05+00:00,2016-02-04 15:16:40+00:00,8.0,8.0,55000.0,Thursday,1405.0,348266.0,1413.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,3445
82506,Homologacion por grupo de cursos,3445,Variant 2,2016-02-08 16:24:31+00:00,2016-02-04 15:40:05+00:00,1413.0,1405.0,56405.0,Thursday,348266.0,0.0,1413.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82507,Traer informacion estudiante - banner,8528,Variant 2,2016-02-04 15:18:19+00:00,2016-02-04 15:18:19+00:00,0.0,0.0,55099.0,Thursday,0.0,101135.0,668.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8528
82507,Radicar Solicitud Homologacion,8528,Variant 2,2016-02-04 15:18:21+00:00,2016-02-04 15:18:19+00:00,0.0,0.0,55099.0,Thursday,2.0,101133.0,668.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,6694
82507,Validar solicitud,6694,Variant 2,2016-02-04 15:29:27+00:00,2016-02-04 15:18:21+00:00,2.0,2.0,55101.0,Thursday,666.0,100467.0,668.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,6990
82507,Homologacion por grupo de cursos,6990,Variant 2,2016-02-05 19:23:54+00:00,2016-02-04 15:29:27+00:00,668.0,666.0,55767.0,Thursday,100467.0,0.0,668.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
82508,Traer informacion estudiante - banner,8528,Variant 2,2016-02-04 15:24:47+00:00,2016-02-04 15:24:47+00:00,0.0,0.0,55487.0,Thursday,0.0,628365.0,3133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8528
